Fecha,Id.Caso,Primer_contacto,Hora,Duracion,,Tiempo_1ra_Respuesta,Tiempo en cola espera,Tiempo de espera cliente[s],Total Mensajes,Comentarios,Intervalos,DIA,Mes,Year
6/06/2022,662622,No_solucion,23:44:12,,,23:44:10,0:00:02,0:02:39,155.920462,,23:30,Monday,June,2022
6/06/2022,662620,No_solucion,23:04:57,0 days 00:24:21,24.00,23:04:26,0:00:31,0:06:40,24,,23:00,Monday,June,2022
6/06/2022,662619,No_solucion,22:56:10,0 days 00:42:07,42,22:56:08,0:00:02,0:11:47,155.920462,,22:30,Monday,June,2022
6/06/2022,662618,No_solucion,22:55:13,,,14:50:55,0:00:33,0:05:41,28,,22:30,Monday,June,2022
6/06/2022,662615,No_solucion,22:47:34,0 days 00:17:23,17,22:47:32,0:00:02,0:02:42,59,,22:30,Monday,June,2022
6/06/2022,662612,No_solucion,22:37:46,0 days 00:31:14,,22:37:43,0:00:03,0:16:29,36,,22:30,Monday,June,2022
6/06/2022,662611,No_solucion,22:36:57,0 days 00:14:27,,2:20:49,0:00:01,0:02:49,155.920462,,22:30,Monday,June,2022
6/06/2022,662609,No_solucion,22:27:41,0 days 00:14:29,,,0:00:02,0:03:56,155.920462,,22:00,Monday,June,2022
6/06/2022,662606,No_solucion,22:08:35,0 days 00:31:47,,22:08:34,0:00:01,0:13:51,155.920462,,22:00,Monday,June,2022
6/06/2022,662605,No_solucion,22:07:12,,,22:07:11,0:00:01,0:04:26,24,,22:00,Monday,June,2022
6/06/2022,662601,No_solucion,21:53:12,0 days 00:36:45,,21:53:10,0:00:02,0:18:43,155.920462,,21:30,Monday,June,2022
6/06/2022,662603,No_solucion,21:52:15,0 days 00:10:40,,21:52:14,0:00:01,0:04:33,21,,21:30,Monday,June,2022
6/06/2022,662600,No_solucion,21:47:44,0 days 00:39:47,,,0:00:02,0:15:38,155.920462,,21:30,Monday,June,2022
6/06/2022,662596,No_solucion,21:36:39,0 days 00:15:15,,21:36:37,0:00:02,0:07:54,155.920462,,21:30,Monday,June,2022
6/06/2022,662595,No_solucion,21:26:24,,,21:26:22,0:00:02,0:14:39,155.920462,,21:00,Monday,June,2022
6/06/2022,662594,No_solucion,21:26:00,0 days 00:17:13,,10:06:08,0:00:01,0:05:57,155.920462,,21:00,Monday,June,2022
6/06/2022,662592,No_solucion,21:22:28,0 days 00:19:37,,21:22:25,0:00:03,0:06:14,25,,21:00,Monday,June,2022
6/06/2022,662591,No_solucion,21:20:15,0 days 00:31:48,,21:20:09,0:00:06,0:17:07,155.920462,,21:00,Monday,June,2022
6/06/2022,662590,No_solucion,21:19:33,0 days 00:33:55,,19:49:30,0:00:01,0:08:42,155.920462,,21:00,Monday,June,2022
6/06/2022,662589,No_solucion,21:19:13,0 days 00:23:54,,21:19:11,0:00:02,15:50:05,155.920462,,21:00,Monday,June,2022
6/06/2022,662588,No_solucion,21:14:57,0 days 00:08:17,,21:14:55,0:00:02,0:03:34,155.920462,,21:00,Monday,June,2022
6/06/2022,662585,No_solucion,21:10:52,,,1:11:04,0:00:02,0:14:37,48,,21:00,Monday,June,2022
